,"Name","NOGA6","NOGA2","NOGA1","y2015","y2020","DeltaP5b","Wgroup","Cluster"
216," Sonstiger Detailhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten","479900","47","4",14,15,"7.142857143","3","Handel"
217," Personenbeförderung im Eisenbahnfernverkehr","491000","49","4",1292,1260,"-2.476780186","2","Dienstleistungen"
218," Güterbeförderung im Eisenbahnverkehr","492000","49","4",81,61,"-24.69135802","0","Dienstleistungen"
219," Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)","493100","49","4",1105,1263,"14.29864253","3","Dienstleistungen"
220," Betrieb von Taxis","493200","49","4",560,357,"-36.25","0","Dienstleistungen"
221," Nicht-regelmässiger Personenbeförderung im Landverkehr","493901","49","4",27,20,"-25.92592593","0","Dienstleistungen"
222," Regelmässige Personenbeförderung im Regional- und Fernverkehr","493902","49","4",88,55,"-37.5","0","Dienstleistungen"
223," Güterbeförderung im Strassenverkehr","494100","49","4",989,953,"-3.640040445","2","Dienstleistungen"
224," Umzugstransporte","494200","49","4",151,140,"-7.284768212","1","Dienstleistungen"
225," Personenbeförderung in der See- und Küstenschifffahrt","501000","50","5",12,6,"-50","0","Dienstleistungen"
226," Güterbeförderung in der See- und Küstenschifffahrt","502000","50","5",8,8,"0","2","Dienstleistungen"
227," Personenbeförderung in der Binnenschifffahrt","503000","50","5",1059,1005,"-5.099150142","1","Dienstleistungen"
228," Güterbeförderung in der Binnenschifffahrt","504000","50","5",339,260,"-23.30383481","0","Dienstleistungen"
229," Personenbeförderung in der Luftfahrt","511000","51","5",796,856,"7.537688442","3","Dienstleistungen"
230," Güterbeförderung in der Luftfahrt","512100","51","5",8,6,"-25","0","Dienstleistungen"
231," Lagerung","521000","52","5",173,63,"-63.58381503","0","Dienstleistungen"
232," Erbringung von sonstigen Dienstleistungen für den Landverkehr","522100","52","5",65,86,"32.30769231","4","Dienstleistungen"
233," Erbringung von sonstigen Dienstleistungen für die Schifffahrt","522200","52","5",117,147,"25.64102564","4","Dienstleistungen"
234," Erbringung von sonstigen Dienstleistungen für die Luftfahrt","522300","52","5",700,680,"-2.857142857","2","Dienstleistungen"
235," Frachtumschlag","522400","52","5",34,20,"-41.17647059","0","Dienstleistungen"
236," Erbringung von sonstigen Dienstleistungen für den Verkehr a. n. g.","522900","52","5",2228,2017,"-9.47037702","1","Dienstleistungen"
237," Postdienste von Universaldienstleistungsanbietern","531000","53","5",647,515,"-20.40185471","0","Dienstleistungen"
238," Sonstige Post-, Kurier- und Expressdienste","532000","53","5",1320,1331,"0.833333333","2","Dienstleistungen"
239," Hotels, Gasthöfe und Pensionen mit Restaurant","551001","55","5",1630,1196,"-26.62576687","0","Gastronomie"
240," Hotels, Gasthöfe und Pensionen ohne Restaurant","551002","55","5",93,86,"-7.52688172","1","Gastronomie"
241," Verwaltung von Hotels, Gasthöfen und Pensionen","551003","55","5",20,13,"-35","0","Gastronomie"
242," Ferienwohnungen, Ferienhäuser","552001","55","5",43,31,"-27.90697674","0","Gastronomie"
243," Sonstige Beherbergungsstätten","559000","55","5",9,10,"11.11111111","3","Gastronomie"
244," Restaurants, Imbissstuben, Tea-Rooms und Gelaterias","561001","56","5",4830,4514,"-6.542443064","1","Gastronomie"
245," Event-Caterer","562100","56","5",2140,405,"-81.07476636","0","Gastronomie"
246," Erbringung sonstiger Verpflegungsdienstleistungen","562900","56","5",1043,929,"-10.93000959","1","Gastronomie"
247," Bars","563001","56","5",592,482,"-18.58108108","1","Gastronomie"
248," Diskotheken, Dancings, Night Clubs","563002","56","5",170,118,"-30.58823529","0","Gastronomie"
249," Verlegen von Büchern","581100","58","5",162,175,"8.024691358","3","Kreativwirtschaft"
250," Verlegen von Zeitungen","581300","58","5",348,159,"-54.31034483","0","Kreativwirtschaft"
251," Verlegen von Zeitschriften","581400","58","5",362,408,"12.70718232","3","Kreativwirtschaft"
252," Sonstiges Verlagswesen (ohne Software)","581900","58","5",85,112,"31.76470588","4","Kreativwirtschaft"
253," Herstellung von Filmen, Videofilmen und Fernsehprogrammen","591100","59","5",197,208,"5.583756345","3","Kreativwirtschaft"
254," Nachbearbeitung und sonstige Filmtechnik","591200","59","5",5,4,"-20","1","Kreativwirtschaft"
255," Filmverleih und -vertrieb (ohne Videotheken)","591300","59","5",7,19,"171.4285714","4","Kreativwirtschaft"
256," Kinos","591400","59","5",119,95,"-20.16806723","0","Kreativwirtschaft"
257," Tonstudios, Herstellung von Radiobeiträgen, Verlegen von bespielten Tonträgern und Musikalien","592000","59","5",79,79,"0","2","Kreativwirtschaft"
258," Radioveranstalter","601000","60","6",276,381,"38.04347826","4","Kreativwirtschaft"
259," Fernsehveranstalter","602000","60","6",112,106,"-5.357142857","1","Kreativwirtschaft"
260," Leitungsgebundene Telekommunikation","611000","61","6",566,531,"-6.183745583","1","Dienstleistungen"
261," Drahtlose Telekommunikation","612000","61","6",75,60,"-20","1","Dienstleistungen"
262," Sonstige Telekommunikation","619000","61","6",18,17,"-5.555555556","1","Dienstleistungen"
263," Programmierungstätigkeiten","620100","62","6",1153,1540,"33.56461405","4","Dienstleistungen"
264," Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie","620200","62","6",1240,1326,"6.935483871","3","Dienstleistungen"
265," Erbringung von sonstigen Dienstleistungen der Informationstechnologie","620900","62","6",81,75,"-7.407407407","1","Dienstleistungen"
266," Datenverarbeitung, Hosting und damit verbundene Tätigkeiten","631100","63","6",74,86,"16.21621622","3","Dienstleistungen"
267," Webportale","631200","63","6",26,83,"219.2307692","4","Kreativwirtschaft"
268," Korrespondenz- und Nachrichtenbüros","639100","63","6",12,9,"-25","0","Kreativwirtschaft"
269," Kantonalbanken","641902","64","6",970,1087,"12.06185567","3","Finanzwesen"
270," Grossbanken","641903","64","6",1626,907,"-44.21894219","0","Finanzwesen"
271," Regionalbanken und Sparkassen","641904","64","6",33,47,"42.42424242","4","Finanzwesen"
272," Raiffeisenbanken","641905","64","6",70,62,"-11.42857143","1","Finanzwesen"
273," Börsenbanken","641907","64","6",517,424,"-17.98839458","1","Finanzwesen"
274," Ausländisch beherrschte Banken","641908","64","6",906,854,"-5.739514349","1","Finanzwesen"
275," Privatbankiers","641910","64","6",135,128,"-5.185185185","1","Finanzwesen"
276," Andere Banken","641911","64","6",536,482,"-10.07462687","1","Finanzwesen"
277," Sonstige Kreditinstitute (ohne Spezialkreditinstitute) a. n. g.","641912","64","6",15,17,"13.33333333","3","Finanzwesen"
278," Andere Holdinggesellschaften","642002","64","6",72,81,"12.5","3","Finanzwesen"
279," Sonstige Spezialkreditinstitute","649202","64","6",38,39,"2.631578947","2","Finanzwesen"
280," Investmentgesellschaften","649901","64","6",162,189,"16.66666667","3","Finanzwesen"
281," Tresorerie innerhalb einer Unternehmensgruppe","649902","64","6",33,19,"-42.42424242","0","Finanzwesen"
282," Sonstige Finanzierungsinstitutionen a. n. g.","649903","64","6",21,44,"109.5238095","4","Finanzwesen"
283," Lebensversicherungen","651100","65","6",279,324,"16.12903226","3","Finanzwesen"
284," Unfallversicherung (SUVA)","651201","65","6",140,118,"-15.71428571","1","Finanzwesen"
285," Unfall- und Schadenversicherung","651202","65","6",3376,3534,"4.680094787","2","Finanzwesen"
286," Krankenkassen","651203","65","6",230,210,"-8.695652174","1","Finanzwesen"
287," Sonstige Versicherungen (ohne Sozialversicherung) a. n. g.","651204","65","6",48,41,"-14.58333333","1","Finanzwesen"
288," Pensionskassen und Pensionsfonds","653000","65","6",220,215,"-2.272727273","2","Finanzwesen"
289," Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten","661900","66","6",221,203,"-8.14479638","1","Finanzwesen"
290," Risiko- und Schadensbewertung","662100","66","6",28,29,"3.571428571","2","Finanzwesen"
291," Tätigkeit von Versicherungsmaklerinnen und -maklern","662200","66","6",590,617,"4.576271186","2","Finanzwesen"
292," Ausgleichskassen","662901","66","6",159,164,"3.144654088","2","Finanzwesen"
293," Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten a. n. g.","662902","66","6",347,701,"102.0172911","4","Finanzwesen"
294," Fondsleitungen","663001","66","6",228,251,"10.0877193","3","Finanzwesen"
295," Fondsmanagement","663002","66","6",560,606,"8.214285714","3","Finanzwesen"
296," Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen","681000","68","6",196,169,"-13.7755102","1","#NV"
297," Vermietung und Verpachtung von eigenen oder geleasten Grundstücken","682001","68","6",47,46,"-2.127659574","2","#NV"
298," Vermietung und Verpachtung von eigenen oder geleasten Gebäuden und Wohnungen","682002","68","6",651,850,"30.56835637","4","#NV"
299," Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte","683100","68","6",189,207,"9.523809524","3","#NV"
300," Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte","683200","68","6",1595,1492,"-6.457680251","1","#NV"
301," Advokatur-, Notariatsbüros","691001","69","6",1072,1163,"8.48880597","3","#NV"
302," Patentanwaltsbüros, Patentverwertung","691002","69","6",76,86,"13.15789474","3","#NV"
303," Wirtschaftsprüfung und Steuerberatung, Buchführung, Treuhandgesellschaften","692000","69","6",1675,1682,"0.417910448","2","#NV"
304," Firmensitzaktivitäten von anderen Gesellschaften","701002","70","7",4410,4455,"1.020408163","2","#NV"
305," Public-Relations-Beratung","702100","70","7",268,354,"32.08955224","4","Kreativwirtschaft"
306," Unternehmensberatung","702200","70","7",2105,2407,"14.34679335","3","Kreativwirtschaft"
307," Architekturbüros","711101","71","7",2736,3022,"10.45321637","3","Kreativwirtschaft"
308," Raumplanungsbüros","711102","71","7",39,38,"-2.564102564","2","Kreativwirtschaft"
309," Landschaftsplanungsbüros und Gartenarchitekturbüros","711103","71","7",73,93,"27.39726027","4","Kreativwirtschaft"
310," Bau-Ingenieurbüros","711201","71","7",1004,848,"-15.53784861","1","#NV"
311," Gebäudetechnik-Ingenieurbüros","711202","71","7",195,172,"-11.79487179","1","#NV"
312," Sonstige Ingenieurbüros","711203","71","7",926,1430,"54.42764579","4","#NV"
313," Geometerbüros","711204","71","7",6,7,"16.66666667","3","#NV"
314," Sonstige technische Beratung und Planung","711205","71","7",552,579,"4.891304348","2","#NV"
315," Technische, physikalische und chemische Untersuchung","712000","71","7",269,397,"47.58364312","4","#NV"
316," Forschung und Entwicklung im Bereich Biotechnologie","721100","72","7",500,658,"31.6","4","Life Sciences, Chemie, Pharma"
317," Sonstige Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin","721900","72","7",2317,2541,"9.667673716","3","Life Sciences, Chemie, Pharma"
318," Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften","722000","72","7",70,70,"0","2","#NV"
319," Werbeagenturen","731100","73","7",886,779,"-12.07674944","1","Kreativwirtschaft"
320," Vermarktung und Vermittlung von Werbezeiten und Werbeflächen","731200","73","7",95,52,"-45.26315789","0","Kreativwirtschaft"
321," Markt- und Meinungsforschung","732000","73","7",95,36,"-62.10526316","0","#NV"
322," Industrie- und Produktdesign","741001","74","7",92,113,"22.82608696","4","Kreativwirtschaft"
323," Grafikdesign und Visuelle Kommunikation","741002","74","7",499,499,"0","2","Kreativwirtschaft"
324," Innenarchitektur und Raumgestaltung","741003","74","7",177,174,"-1.694915254","2","Kreativwirtschaft"
325," Fotografie","742001","74","7",166,161,"-3.012048193","2","Kreativwirtschaft"
326," Fotolabors","742002","74","7",6,4,"-33.33333333","0","Kreativwirtschaft"
327," Übersetzen und Dolmetschen","743000","74","7",175,121,"-30.85714286","0","Kreativwirtschaft"
328," Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g.","749000","74","7",308,340,"10.38961039","3","#NV"
329," Veterinärwesen","750000","75","7",61,61,"0","2","#NV"
330," Vermietung von Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","771100","77","7",237,226,"-4.641350211","2","#NV"
331," Vermietung von sonstigen Gebrauchsgütern","772900","77","7",6,6,"0","2","#NV"
332," Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g.","773900","77","7",28,20,"-28.57142857","0","#NV"
333," Leasing von geistigem Eigentum und ähnlichen Produkten (ohne Copyrights)","774000","77","7",32,13,"-59.375","0","#NV"
334," Vermittlung von Arbeitskräften","781000","78","7",637,830,"30.29827316","4","#NV"
335," Befristete Überlassung von Arbeitskräften","782000","78","7",6530,6753,"3.415007657","2","#NV"
336," Reisebüros","791100","79","7",443,280,"-36.79458239","0","Dienstleistungen"
337," Reiseveranstalter","791200","79","7",69,165,"139.1304348","4","#NV"
338," Erbringung sonstiger Reservierungsdienstleistungen","799002","79","7",109,99,"-9.174311927","1","Kreativwirtschaft"
339," Private Wach- und Sicherheitsdienste","801000","80","8",1286,1271,"-1.166407465","2","#NV"
340," Hausmeisterdienste, Facility Management","811000","81","8",678,773,"14.01179941","3","Dienstleistungen"
341," Allgemeine Gebäudereinigung","812100","81","8",3947,3178,"-19.48315176","1","Dienstleistungen"
342," Kaminfeger","812201","81","8",19,16,"-15.78947368","1","Dienstleistungen"
343," Spezielle Reinigung von Gebäuden und Reinigung von Maschinen","812202","81","8",34,12,"-64.70588235","0","Dienstleistungen"
344," Reinigung a. n. g.","812900","81","8",462,482,"4.329004329","2","Dienstleistungen"
345," Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen","813000","81","8",192,210,"9.375","3","Dienstleistungen"
346," Allgemeine Sekretariats- und Schreibdienste","821100","82","8",5,13,"160","4","#NV"
347," Sekretariats- und Schreibdienste","821901","82","8",121,83,"-31.40495868","0","#NV"
348," Copy Shops","821902","82","8",15,11,"-26.66666667","0","Dienstleistungen"
349," Call Centers","822000","82","8",38,31,"-18.42105263","1","#NV"
350," Messe-, Ausstellungs- und Kongressveranstalter","823000","82","8",642,389,"-39.40809969","0","Kreativwirtschaft"
351," Inkassobüros und Auskunfteien","829100","82","8",27,27,"0","2","#NV"
352," Abfüllen und Verpacken","829200","82","8",13,11,"-15.38461538","1","Dienstleistungen"
353," Erbringung sonstiger wirtschaftlicher Dienstleistungen für Unternehmen und Privatpersonen a. n. g.","829900","82","8",31,87,"180.6451613","4","#NV"
354," Allgemeine öffentliche Verwaltung","841100","84","8",1291,1245,"-3.563129357","2","#NV"
355," Öffentliche Verwaltung auf den Gebieten Gesundheitswesen, Bildung, Kultur und Sozialwesen","841200","84","8",832,1044,"25.48076923","4","#NV"
356," Wirtschaftsförderung, -ordnung und -aufsicht","841300","84","8",740,748,"1.081081081","2","#NV"
357," Auswärtige Angelegenheiten","842100","84","8",8,7,"-12.5","1","#NV"
358," Verteidigung","842201","84","8",29,27,"-6.896551724","1","#NV"
359," Verwaltung der Rechtspflege, Gerichte","842301","84","8",815,840,"3.067484663","2","#NV"
360," Verwaltung von Strafvollzugsanstalten","842302","84","8",61,58,"-4.918032787","2","#NV"
361," Öffentliche Sicherheit und Ordnung","842400","84","8",1940,1917,"-1.18556701","2","#NV"
362," Feuerwehren","842500","84","8",110,209,"90","4","#NV"
363," Alters- und Hinterlassenenversicherung (AHV), Invalidenversicherung (IV), Arbeitslosenversicherung (ALV)","843000","84","8",130,134,"3.076923077","2","#NV"
364," Kindergärten und Vorschulen","851000","85","8",437,657,"50.34324943","4","#NV"
365," Primarschulen","852001","85","8",2039,2401,"17.75380088","3","#NV"
366," Sonderschulen","852002","85","8",427,269,"-37.00234192","0","#NV"
367," Obligatorische Schulen a. n. g.","852003","85","8",139,166,"19.42446043","3","#NV"
368," Bezirks-, Sekundar-, Realschulen, Oberstufe der Primarschulen","853101","85","8",903,976,"8.084163898","3","#NV"
369," Maturitätsschulen","853102","85","8",802,682,"-14.96259352","1","#NV"
370," Fachmittelschulen FMS (bisher: Diplommittelschulen DMS)","853103","85","8",183,209,"14.20765027","3","#NV"
371," Berufsbildende weiterführende Schulen","853200","85","8",1148,1090,"-5.052264808","1","#NV"
372," Universitäre Hochschulen","854201","85","8",4338,4707,"8.506224066","3","#NV"
373," Andere Ausbildungsstätten der höheren Berufsbildung","854203","85","8",26,40,"53.84615385","4","#NV"
374," Sport- und Freizeitunterricht","855100","85","8",198,290,"46.46464646","4","#NV"
375," Kulturunterricht","855200","85","8",644,717,"11.33540373","3","Kreativwirtschaft"
376," Fahr- und Flugschulen","855300","85","8",89,93,"4.494382022","2","#NV"
377," Sprachunterricht","855901","85","8",496,596,"20.16129032","4","#NV"
378," Informatikunterricht","855902","85","8",20,23,"15","3","#NV"
379," Berufliche Erwachsenenbildung","855903","85","8",847,820,"-3.18772137","2","#NV"
380," Sonstiger Unterricht a. n. g.","855904","85","8",168,162,"-3.571428571","2","#NV"
381," Erbringung von Dienstleistungen für den Unterricht","856000","85","8",50,28,"-44","0","#NV"
382," Allgemeine Krankenhäuser","861001","86","8",8786,10137,"15.37673572","3","#NV"
383," Spezialkliniken","861002","86","8",4196,4431,"5.600571973","3","#NV"
384," Arztpraxen für Allgemeinmedizin","862100","86","8",1051,1280,"21.7887726","4","#NV"
385," Facharztpraxen","862200","86","8",1559,1746,"11.99486851","3","#NV"
386," Zahnarztpraxen","862300","86","8",873,862,"-1.26002291","2","#NV"
387," Psychotherapie und Psychologie","869001","86","8",247,257,"4.048582996","2","#NV"
388," Physiotherapie","869002","86","8",614,796,"29.64169381","4","#NV"
389," Aktivitäten der Krankenschwestern, Hauspflege","869003","86","8",1026,1355,"32.0662768","4","#NV"
390," Aktivitäten der Hebammen","869004","86","8",30,68,"126.6666667","4","#NV"
391," Sonstige Aktivitäten der nicht-ärztlichen Medizinalberufe","869005","86","8",480,473,"-1.458333333","2","#NV"
392," Medizinische Labors","869006","86","8",173,267,"54.33526012","4","Life Sciences, Chemie, Pharma"
393," Sonstiges Gesundheitswesen a. n. g.","869007","86","8",222,332,"49.54954955","4","#NV"
394," Pflegeheime","871000","87","8",3159,3489,"10.44634378","3","#NV"
395," Institutionen für Suchtkranke","872001","87","8",90,113,"25.55555556","4","#NV"
396," Institutionen für psychosoziale Fälle","872002","87","8",136,154,"13.23529412","3","#NV"
397," Altersheime","873001","87","8",301,226,"-24.91694352","0","#NV"
398," Institutionen für Behinderte","873002","87","8",908,1006,"10.79295154","3","#NV"
399," Wohnheime für Kinder und Jugendliche","879001","87","8",478,479,"0.209205021","2","#NV"
400," Erziehungsheime","879002","87","8",26,32,"23.07692308","4","#NV"
401," Sonstige Wohnheime","879003","87","8",253,272,"7.509881423","3","#NV"
402," Soziale Betreuung älterer Menschen und Behinderter","881000","88","8",1089,892,"-18.08999082","1","#NV"
403," Tagesbetreuung von Kindern","889100","88","8",1465,1679,"14.60750853","3","#NV"
404," Organisationen der Wohlfahrtspflege","889901","88","8",582,675,"15.97938144","3","#NV"
405," Sonstiges Sozialwesen a. n. g.","889902","88","8",1479,1632,"10.34482759","3","#NV"
406," Theater- und Ballettgruppen","900101","90","9",731,668,"-8.618331053","1","Kreativwirtschaft"
407," Orchester, Chöre, Musiker","900102","90","9",1132,1087,"-3.975265018","2","Kreativwirtschaft"
408," Erbringung von Dienstleistungen für die darstellende Kunst","900200","90","9",74,99,"33.78378378","4","Kreativwirtschaft"
409," Selbstständige bildende Künstler","900301","90","9",236,223,"-5.508474576","1","Kreativwirtschaft"
410," Sonstige künstlerische und schriftstellerische Tätigkeiten und Darbietungen","900302","90","9",77,76,"-1.298701299","2","Kreativwirtschaft"
411," Selbstständige Journalisten","900303","90","9",76,73,"-3.947368421","2","Kreativwirtschaft"
412," Betrieb von Kultur- und Unterhaltungseinrichtungen","900400","90","9",142,122,"-14.08450704","1","Kreativwirtschaft"
413," Bibliotheken und Archive","910100","91","9",249,244,"-2.008032129","2","Kreativwirtschaft"
414," Museen","910200","91","9",633,721,"13.90205371","3","Kreativwirtschaft"
415," Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen","910300","91","9",5,7,"40","4","Kreativwirtschaft"
416," Botanische und zoologische Gärten sowie Naturparks","910400","91","9",148,222,"50","4","#NV"
417," Spiel-, Wett- und Lotteriewesen","920000","92","9",448,428,"-4.464285714","2","#NV"
418," Betrieb von Sportanlagen","931100","93","9",174,193,"10.91954023","3","#NV"
419," Sportvereine","931200","93","9",489,478,"-2.249488753","2","#NV"
420," Gymnastik- und Fitnesszentren","931300","93","9",536,514,"-4.104477612","2","Dienstleistungen"
421," Erbringung von sonstigen Dienstleistungen des Sports","931900","93","9",69,54,"-21.73913043","0","#NV"
422," Vergnügungs- und Themenparks","932100","93","9",22,14,"-36.36363636","0","#NV"
423," Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.","932900","93","9",256,283,"10.546875","3","#NV"
424," Wirtschafts- und Arbeitgeberverbände","941100","94","9",203,263,"29.55665025","4","#NV"
425," Berufsorganisationen","941200","94","9",347,314,"-9.510086455","1","#NV"
426," Arbeitnehmervereinigungen","942000","94","9",62,61,"-1.612903226","2","#NV"
427," Kirchgemeinden und religiöse Vereinigungen","949101","94","9",1081,841,"-22.20166512","0","#NV"
428," Klöster und Ordensgemeinschaften","949102","94","9",37,32,"-13.51351351","1","#NV"
429," Politische Parteien und Vereinigungen","949200","94","9",21,31,"47.61904762","4","#NV"
430," Organisationen der Kultur, Bildung, Wissenschaft und Forschung","949901","94","9",491,630,"28.3095723","4","#NV"
431," Organisationen des Gesundheitswesens","949902","94","9",103,167,"62.13592233","4","#NV"
432," Jugendorganisationen","949903","94","9",262,415,"58.39694656","4","#NV"
433," Sonstige Interessenvertretungen und Vereinigungen a. n. g.","949904","94","9",1107,895,"-19.15085818","1","#NV"
434," Reparatur von Telekommunikationsgeräten","951200","95","9",13,25,"92.30769231","4","Dienstleistungen"
435," Reparatur von Schuhen und Lederwaren","952300","95","9",25,20,"-20","1","Dienstleistungen"
436," Reparatur von Möbeln und Einrichtungsgegenständen","952400","95","9",45,32,"-28.88888889","0","Dienstleistungen"
437," Reparatur von Uhren und Schmuck","952500","95","9",6,8,"33.33333333","4","Dienstleistungen"
438," Reparatur von sonstigen Gebrauchsgütern","952900","95","9",54,48,"-11.11111111","1","Dienstleistungen"
439," Wäscherei","960101","96","9",301,264,"-12.2923588","1","Dienstleistungen"
440," Textilreinigung","960102","96","9",49,37,"-24.48979592","0","Dienstleistungen"
441," Coiffeursalons","960201","96","9",936,914,"-2.35042735","2","Dienstleistungen"
442," Kosmetiksalons","960202","96","9",340,373,"9.705882353","3","Dienstleistungen"
443," Bestattungswesen","960300","96","9",98,99,"1.020408163","2","Dienstleistungen"
444," Saunas, Solarien","960401","96","9",17,19,"11.76470588","3","Dienstleistungen"
445," Sonstiges Körperpflegegewerbe","960402","96","9",97,141,"45.36082474","4","Dienstleistungen"
446," Erbringung von sonstigen Dienstleistungen a. n. g.","960900","96","9",196,244,"24.48979592","4","Dienstleistungen"
NA," "," "," "," ",NA,NA," "," "," "
