"","Name","NOGA6","NOGA2.x","NOGA1","X2015","y2020","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Produktionslevel"
"1"," Anbau von Getreide (ohne Reis), H√ºlsenfr√ºchten und √ñlsaaten","11100","1","0","5","6","20","3","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"2"," Anbau von sonstigen einj√§hrigen Pflanzen","11900","1","0","40","20","-50","0","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"3"," Anbau von Wein- und Tafeltrauben","12101","1","0","7","4","-42.85714286","0","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"4"," Haltung von Tieren der Pferdegattung","14300","1","0","4","4","0","2","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"5"," Gemischte Landwirtschaft","15000","1","0","10","10","0","2","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"6"," Forstwirtschaft","21000","2","0","13","16","23.07692308","4","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"7"," Gewinnung von Kies, Sand, Ton und Kaolin","81200","8","0","16","14","-12.5","1","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"8"," Schlachten (ohne Schlachten von Gefl√ºgel)","101100","10","1","349","309","-11.46131805","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"9"," Fleischverarbeitung","101300","10","1","1025","971","-5.268292683","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"10"," Fischverarbeitung","102000","10","1","138","167","21.01449275","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"11"," Herstellung von Backwaren (ohne Dauerbackwaren)","107100","10","1","494","403","-18.42105263","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"12"," Herstellung von Teigwaren","107300","10","1","5","5","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"13"," Herstellung von Zuckerwaren","108202","10","1","9","10","11.11111111","3","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"14"," Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","108300","10","1","5","5","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"15"," Herstellung von W√ºrzmitteln und Saucen","108400","10","1","185","158","-14.59459459","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"16"," Herstellung von homogenisierten und di√§tetischen Nahrungsmitteln","108600","10","1","38","52","36.84210526","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"17"," Herstellung von sonstigen Nahrungsmitteln a. n. g.","108900","10","1","9","18","100","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"18"," Herstellung von Bier","110500","11","1","46","40","-13.04347826","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"19"," Veredlung von Textilien und Bekleidung","133000","13","1","7","10","42.85714286","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"20"," Herstellung von sonstigen Textilwaren a. n. g.","139903","13","1","7","9","28.57142857","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"21"," Herstellung von Damen- und M√§dchenoberbekleidung","141302","14","1","27","18","-33.33333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"22"," Herstellung von Oberbekleidung ohne ausgepr√§gten Schwerpunkt","141303","14","1","106","88","-16.98113208","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"23"," Herstellung von sonstiger Bekleidung und Bekleidungszubeh√∂r a. n. g.","141900","14","1","11","14","27.27272727","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"24"," Herstellung von Reiseartikeln, Leder- und Sattlerwaren (ohne Herstellung von Lederbekleidung und Schuhen)","151200","15","1","14","18","28.57142857","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"25"," Bauschreinerei, Fenster und T√ºren","162301","16","1","87","41","-52.87356322","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"26"," Schreinerarbeiten im Innenausbau","162302","16","1","240","285","18.75","3","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"27"," Herstellung von sonstigen Waren aus Papier, Karton und Pappe","172900","17","1","18","16","-11.11111111","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"28"," Offsetdruck","181201","18","1","261","96","-63.2183908","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"29"," Siebdruck","181202","18","1","10","7","-30","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"30"," Lichtpause- und Reprografiebetriebe","181203","18","1","34","26","-23.52941176","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"31"," Sonstiges Drucken a. n. g.","181204","18","1","30","31","3.333333333","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"32"," Erbringung von druckvorbereitenden Dienstleistungen","181301","18","1","70","52","-25.71428571","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"33"," Binden von Druckerzeugnissen und damit verbundene Dienstleistungen","181400","18","1","30","25","-16.66666667","1","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"34"," Herstellung von Sch√§dlingsbek√§mpfungs-, Pflanzenschutz- und Desinfektionsmitteln","202000","20","2","61","20","-67.21311475","0","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"35"," Herstellung von Klebstoffen","205200","20","2","289","233","-19.37716263","1","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"36"," Herstellung von sonstigen chemischen Erzeugnissen a. n. g.","205900","20","2","573","296","-48.34205934","0","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"37"," Herstellung von pharmazeutischen Grundstoffen","211000","21","2","29","34","17.24137931","3","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"38"," Herstellung von pharmazeutischen Spezialit√§ten und sonstigen pharmazeutischen Erzeugnissen","212000","21","2","18667","17943","-3.87850217","2","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"39"," Herstellung von sonstigen Kunststoffwaren","222900","22","2","19","17","-10.52631579","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"40"," Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschliesslich technischen Glaswaren","231900","23","2","24","19","-20.83333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"41"," Herstellung von keramischen Haushaltswaren und Ziergegenst√§nden","234100","23","2","6","4","-33.33333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"42"," Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.","237000","23","2","43","34","-20.93023256","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"43"," Herstellung von Produkten aus Asphalt","239901","23","2","37","33","-10.81081081","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"44"," Herstellung von Metallkonstruktionen","251100","25","2","39","40","2.564102564","2","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"45"," Herstellung von Ausbauelementen aus Metall","251200","25","2","20","23","15","3","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"46"," Mechanische Werkst√§tten","256201","25","2","179","108","-39.66480447","0","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"47"," Schlossereien","256202","25","2","44","49","11.36363636","3","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"48"," Herstellung von elektronischen Bauelementen","261100","26","2","374","154","-58.82352941","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"49"," Herstellung von Ger√§ten der Unterhaltungselektronik","264000","26","2","4","4","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"50"," Herstellung von Mess-, Kontroll-, Navigations- u. √§. Instrumenten und Vorrichtungen","265100","26","2","306","124","-59.47712418","0","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"51"," Herstellung und Zusammensetzung von Uhren","265201","26","2","13","10","-23.07692308","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"52"," Herstellung von Bestrahlungs- und Elektrotherapieger√§ten und elektromedizinischen Ger√§ten","266000","26","2","367","465","26.70299728","4","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"53"," Herstellung von elektrischen Lampen und Leuchten","274000","27","2","418","335","-19.85645933","1","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"54"," Herstellung von Hebezeugen und F√∂rdermitteln","282200","28","2","6","10","66.66666667","4","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"55"," Herstellung von k√§lte- und lufttechnischen Erzeugnissen, nicht f√ºr den Haushalt","282500","28","2","52","58","11.53846154","3","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"56"," Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.","282900","28","2","7","11","57.14285714","4","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"57"," Herstellung von sonstigen Werkzeugmaschinen","284900","28","2","8","6","-25","0","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"58"," Sonstige Herstellung von Maschinen f√ºr sonstige bestimmte Wirtschaftszweige a. n. g.","289902","28","2","10","13","30","4","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"59"," Herstellung von Matratzen","310300","31","3","33","33","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"60"," Herstellung von sonstigen M√∂beln","310900","31","3","23","20","-13.04347826","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"61"," Herstellung von M√ºnzen","321100","32","3","15","8","-46.66666667","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"62"," Herstellung von Schmuck, Gold- und Silberschmiedwaren a. n. g. (ohne Fantasieschmuck)","321202","32","3","102","95","-6.862745098","1","Kreativwirtschaft","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"63"," Herstellung von Musikinstrumenten","322000","32","3","31","34","9.677419355","3","Kreativwirtschaft","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"64"," Herstellung von Spielwaren","324000","32","3","4","5","25","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"65"," Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien","325001","32","3","14","37","164.2857143","4","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"66"," Herstellung von orthop√§dischen und prothetischen Erzeugnissen","325002","32","3","119","123","3.361344538","2","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"67"," Zahntechnische Laboratorien","325003","32","3","596","712","19.46308725","3","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"68"," Herstellung von Brillen","325004","32","3","215","211","-1.860465116","2","Life Sciences","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"69"," Herstellung von sonstigen Erzeugnissen a. n. g.","329900","32","3","33","31","-6.060606061","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"70"," Reparatur von Maschinen","331200","33","3","25","58","132","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"71"," Reparatur von elektronischen und optischen Ger√§ten","331300","33","3","8","5","-37.5","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"72"," Reparatur und Instandhaltung von Luft- und Raumfahrzeugen","331600","33","3","1218","973","-20.11494253","0","MEM-Industrie","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"73"," Installation von Maschinen und Ausr√ºstungen a. n. g.","332000","33","3","10","19","90","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"74"," Elektrizit√§tserzeugung","351100","35","3","4","6","50","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"75"," Elektrizit√§tsverteilung","351300","35","3","568","575","1.232394366","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"76"," Gasverteilung durch Rohrleitungen","352200","35","3","276","345","25","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"77"," W√§rme- und K√§lteversorgung","353000","35","3","54","9","-83.33333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"78"," Abwasserentsorgung","370000","37","3","16","8","-50","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"79"," Behandlung und Beseitigung nicht gef√§hrlicher Abf√§lle","382100","38","3","18","105","483.3333333","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"80"," R√ºckgewinnung sortierter Werkstoffe","383200","38","3","244","204","-16.39344262","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"81"," Entwicklung von Bauprojekten","411000","41","4","15","45","200","4","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"82"," Allgemeiner Hochbau","412001","41","4","338","398","17.75147929","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"83"," Allgemeiner Hoch- und Tiefbau ohne ausgepr√§gten Schwerpunkt","412003","41","4","913","932","2.081051479","2","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"84"," Unterhalt und Reparatur von Geb√§uden","412004","41","4","163","102","-37.42331288","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"85"," Bau von Strassen","421100","42","4","116","130","12.06896552","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"86"," Bau von Bahnverkehrsstrecken","421200","42","4","167","193","15.56886228","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"87"," Rohrleitungstiefbau, Brunnenbau und Kl√§ranlagenbau","422100","42","4","14","13","-7.142857143","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"88"," Sonstiger Tiefbau a. n. g.","429900","42","4","44","36","-18.18181818","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"89"," Abbrucharbeiten","431100","43","4","8","13","62.5","4","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"90"," Elektroinstallation","432100","43","4","2661","2234","-16.04659902","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"91"," Sanit√§rinstallation","432201","43","4","54","55","1.851851852","2","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"92"," Sanit√§rinstallation und Spenglerei","432202","43","4","280","252","-10","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"93"," Sanit√§r- und Heizungsinstallation","432203","43","4","310","290","-6.451612903","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"94"," Installation von Heizungs-, L√ºftungs- und Klimaanlagen","432204","43","4","568","621","9.330985915","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"95"," D√§mmung gegen K√§lte, W√§rme, Schall und Ersch√ºtterung","432901","43","4","118","83","-29.66101695","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"96"," Sonstige Bauinstallation","432902","43","4","139","79","-43.16546763","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"97"," Anbringen von Stuckaturen, Gipserei und Verputzerei","433100","43","4","291","277","-4.810996564","2","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"98"," Einbau von Fenster, T√ºren und Innenausbau, Einbauk√ºchen, Einbaum√∂bel","433200","43","4","148","107","-27.7027027","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"99"," Verlegen von Fussboden","433301","43","4","195","182","-6.666666667","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"100"," Verlegen von Fliesen und Platten","433302","43","4","204","199","-2.450980392","2","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"101"," Malerei","433401","43","4","765","668","-12.67973856","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"102"," Malerei und Gipserei ohne ausgepr√§gten Schwerpunkt","433402","43","4","177","205","15.81920904","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"103"," Glaserei","433403","43","4","44","49","11.36363636","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"104"," Sonstiger Ausbau a. n. g.","433900","43","4","15","14","-6.666666667","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"105"," Holzbau, Zimmerei","439101","43","4","34","56","64.70588235","4","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"106"," Dachdeckerei","439102","43","4","115","97","-15.65217391","1","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"107"," Bauspenglerei","439103","43","4","13","17","30.76923077","4","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"108"," Abdichtungen","439901","43","4","43","34","-20.93023256","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"109"," Ger√ºstbau","439902","43","4","74","80","8.108108108","3","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
"110"," Maurerarbeiten","439903","43","4","78","60","-23.07692308","0","Bau","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Non-Manufacturing"
